순번,영화명,관객수
1,명량,"4,163,666"
2,아바타,"3,993,374"
3,왕의 남자,"3,660,842"
4,괴물,"3,571,254"
5,태극기 휘날리며,"3,509,563"
6,도둑들,"3,468,906"
7,"광해, 왕이 된 남자","3,355,700"
8,신과함께-죄와 벌,"3,346,172"
9,베테랑,"3,290,366"
10,실미도,"3,264,000"
11,국제시장,"3,233,946"
12,암살,"3,155,960"
13,인터스텔라,"3,079,036"
14,7번방의 선물,"3,070,053"
15,어벤져스: 인피니티 워,"3,008,821"
16,겨울왕국,"3,003,446"
17,변호인,"2,978,688"
18,어벤져스: 에이지 오브 울트론,"2,823,388"
19,해운대,"2,791,508"
20,부산행,"2,754,686"
21,택시운전사,"2,729,932"
22,친구,"2,678,846"
23,신과함께-인과 연,"2,636,378"
24,아이언맨 3,"2,595,269"
25,관상,"2,561,744"
26,설국열차,"2,550,437"
27,공동경비구역 JSA,"2,513,540"
28,쉬리,"2,448,399"
29,웰컴 투 동막골,"2,435,088"
30,캡틴 아메리카: 시빌 워,"2,400,069"
31,과속스캔들,"2,390,408"
32,미션임파서블:고스트프로토콜,"2,347,164"
33,트랜스포머,"2,300,866"
34,검사외전,"2,219,587"
35,국가대표,"2,213,346"
36,트랜스포머: 패자의 역습,"2,200,557"
37,레미제라블,"2,190,090"
38,쌍화점,"2,175,717"
39,어벤져스,"2,147,619"
40,트랜스포머 3,"2,143,018"
41,베를린,"2,118,794"
42,디워,"2,098,438"
43,타짜,"2,091,058"
44,최종병기 활,"2,059,847"
45,다크 나이트 라이즈,"2,057,529"
46,수상한 그녀,"2,042,110"
47,인셉션,"2,026,998"
48,"좋은 놈, 나쁜 놈, 이상한 놈 ","2,012,173"
49,화려한 휴가,"2,009,666"
50,써니,"2,004,824"
51,내부자들,"1,972,885"
52,타이타닉,"1,971,780"
53,스파이더맨: 홈 커밍,"1,969,107"
54,킹스맨 : 시크릿 에이전트,"1,968,882"
55,미녀는 괴로워,"1,934,910"
56,살인의 추억,"1,912,715"
57,반지의 제왕 : 왕의 귀환,"1,905,567"
58,해적: 바다로 간 산적,"1,868,694"
59,아저씨,"1,863,328"
60,곡성,"1,829,923"
61,밀정,"1,827,424"
62,반지의 제왕 : 두개의 탑,"1,787,872"
63,1987,"1,776,877"
64,공조,"1,744,624"
65,히말라야,"1,738,016"
66,엽기적인 그녀,"1,735,692"
67,마스터,"1,731,940"
68,은밀하게 위대하게,"1,691,014"
69,미션 임파서블: 폴아웃,"1,686,266"
70,전우치,"1,684,123"
71,늑대소년,"1,677,173"
72,터널,"1,675,010"
73,범죄도시,"1,670,254"
74,미션 임파서블: 로그네이션,"1,669,524"
75,추격자,"1,662,668"
76,닥터 스트레인지,"1,657,823"
77,맘마미아!,"1,646,593"
78,럭키,"1,640,015"
79,신라의 달밤,"1,608,211"
80,사도,"1,606,486"
81,가문의 영광,"1,605,775"
82,매트릭스2 리로디드,"1,596,000"
83,인사이드 아웃,"1,594,626"
84,동갑내기 과외하기,"1,587,975"
85,해리포터와 마법사의 돌,"1,585,389"
86,미션 임파서블 3,"1,584,202"
87,집으로...,"1,576,943"
88,쿵푸팬더 2,"1,575,363"
89,의형제,"1,563,042"
90,월드 워 Z,"1,562,677"
91,쿵푸 팬더,"1,556,669"
92,말아톤,"1,552,548"
93,라라랜드,"1,536,629"
94,사랑과 영혼,"1,532,589"
95,미녀와 야수,"1,531,839"
96,2012,"1,528,658"
97,캐리비안의 해적 : 망자의 함,"1,525,853"
98,완득이,"1,525,277"
