순번,영화명,관객수
1 ,아바타,"3,993,374 "
2 ,인터스텔라,"3,079,036 "
3 ,어벤져스: 인피니티 워,"3,008,821 "
4 ,겨울왕국,"3,003,446 "
5 ,어벤져스: 에이지 오브 울트론,"2,823,388 "
6 ,아이언맨 3,"2,595,269 "
7 ,캡틴 아메리카: 시빌 워,"2,400,069 "
8 ,미션임파서블:고스트프로토콜,"2,347,164 "
9 ,트랜스포머,"2,300,866 "
10 ,트랜스포머: 패자의 역습,"2,200,557 "
11 ,레미제라블,"2,190,090 "
12 ,어벤져스,"2,147,619 "
13 ,트랜스포머 3,"2,143,018 "
14 ,다크 나이트 라이즈,"2,057,529 "
15 ,인셉션,"2,026,998 "
16 ,타이타닉,"1,971,780 "
17 ,스파이더맨: 홈 커밍,"1,969,107 "
18 ,킹스맨 : 시크릿 에이전트,"1,968,882 "
19 ,반지의 제왕 : 왕의 귀환,"1,905,567 "
20 ,반지의 제왕 : 두개의 탑,"1,787,872 "
21 ,미션 임파서블: 폴아웃,"1,686,266 "
22 ,미션 임파서블: 로그네이션,"1,669,524 "
23 ,닥터 스트레인지,"1,657,823 "
24 ,맘마미아!,"1,646,593 "
25 ,매트릭스2 리로디드,"1,596,000 "
26 ,인사이드 아웃,"1,594,626 "
27 ,해리포터와 마법사의 돌,"1,585,389 "
28 ,미션 임파서블 3,"1,584,202 "
29 ,쿵푸팬더 2,"1,575,363 "
30 ,월드 워 Z,"1,562,677 "
31 ,쿵푸 팬더,"1,556,669 "
32 ,라라랜드,"1,536,629 "
33 ,사랑과 영혼,"1,532,589 "
34 ,미녀와 야수,"1,531,839 "
35 ,2012,"1,528,658 "
36 ,캐리비안의 해적 : 망자의 함,"1,525,853 "
37 ,해리포터와 비밀의 방,"1,519,700 "
38 ,트로이,"1,513,408 "
39 ,마션,"1,509,471 "
40 ,앤트맨과 와스프,"1,503,233 "
41 ,쥬라기 월드,"1,502,391 "
42 ,다크 나이트,"1,487,898 "
43 ,캐리비안의 해적: 세상의 끝에서,"1,481,077 "
44 ,블랙 팬서,"1,468,761 "
45 ,주토피아,"1,465,960 "
46 ,어메이징 스파이더맨,"1,446,116 "
47 ,스파이더맨 3,"1,444,270 "
48 ,신비한 동물사전,"1,425,528 "
49 ,킹스맨: 골든 서클,"1,419,759 "
50 ,토르: 라그나로크,"1,419,464 "
51 ,엣지 오브 투모로우,"1,401,887 "
52 ,마이너리티 리포트,"1,401,000 "
53 ,반지의 제왕 : 반지원정대,"1,380,734 "
54 ,아이언맨 2,"1,370,291 "
55 ,어바웃 타임,"1,368,822 "
56 ,터미네이터 : 미래전쟁의 시작,"1,367,218 "
57 ,해리포터와 죽음의 성물2,"1,361,311 "
58 ,킹콩,"1,352,121 "
59 ,엑스맨: 데이즈 오브 퓨처 패스트,"1,345,720 "
60 ,쥬라기 월드: 폴른 킹덤,"1,342,631 "
61 ,아이언맨,"1,329,214 "
62 ,비긴 어게인,"1,324,469 "
63 ,트랜스포머: 사라진 시대,"1,323,527 "
64 ,그래비티,"1,311,034 "
65 ,슈렉2,"1,285,594 "
66 ,아일랜드,"1,285,400 "
67 ,매드 맥스: 분노의 도로,"1,271,954 "
68 ,인디아나 존스 4 : 크리스탈 해골의 왕국,"1,245,028 "
69 ,글래디에이터,"1,242,055 "
70 ,해리포터와 불의 잔,"1,239,817 "
71 ,캡틴 아메리카: 윈터 솔져,"1,237,982 "
72 ,미션 임파서블 2,"1,230,633 "
73 ,인턴,"1,228,273 "
74 ,박물관이 살아있다!,"1,226,404 "
75 ,미스터 & 미세스 스미스,"1,206,120 "
76 ,어메이징 스파이더맨 2,"1,187,974 "
77 ,아마겟돈,"1,170,252 "
78 ,데드풀 2,"1,145,254 "
79 ,다빈치 코드,"1,144,795 "
80 ,해리 포터와 불사조 기사단,"1,134,747 "
81 ,스파이더맨,"1,125,568 "
82 ,너의 이름은.,"1,124,392 "
83 ,클리프 행어,"1,118,583 "
84 ,미이라,"1,114,916 "
85 ,혹성탈출: 반격의 서막,"1,095,630 "
86 ,리얼 스틸,"1,090,591 "
87 ,슈렉,"1,078,886 "
88 ,300,"1,076,005 "
89 ,맨 인 블랙 3,"1,068,672 "
90 ,쥬라기 공원,"1,063,352 "
91 ,데드풀,"1,062,535 "
92 ,진주만,"1,061,151 "
93 ,스타워즈: 깨어난 포스,"1,047,074 "
94 ,쿵푸팬더3,"1,045,418 "
95 ,미이라 3:황제의 무덤,"1,027,371 "
96 ,코코,"1,024,250 "
97 ,베놈,"1,022,672 "
98 ,우주전쟁,"1,006,450 "
99 ,쥬라기 공원 2 - 잃어버린 세계 ,"1,001,279 "
100 ,원티드,"994,356 "
101 ,다이 하드 4 : 죽어도 산다,"990,440 "
102 ,덩케르크,"989,011 "
103 ,늑대와 춤을,"984,978 "
104 ,하울의 움직이는 성,"981,221 "
105 ,다이 하드 3 ,"979,666 "
106 ,콘에어 ,"979,100 "
107 ,캐리비안의 해적: 낯선 조류,"977,452 "
108 ,원초적 본능,"970,180 "
109 ,투모로우,"959,010 "
110 ,미이라2,"948,170 "
111 ,슈렉3,"945,899 "
112 ,서치,"945,890 "
113 ,패션 오브 크라이스트,"940,230 "
114 ,러브 액츄얼리,"940,000 "
115 ,센과 치히로의 행방불명,"937,459 "
