순번,영화명,관객수
1 ,명량,"4,163,666 "
2 ,왕의 남자,"3,660,842 "
3 ,괴물,"3,571,254 "
4 ,태극기 휘날리며,"3,509,563 "
5 ,도둑들,"3,468,906 "
6 ,"광해, 왕이 된 남자","3,355,700 "
7 ,신과함께-죄와 벌,"3,346,172 "
8 ,베테랑,"3,290,366 "
9 ,실미도,"3,264,000 "
10 ,국제시장,"3,233,946 "
11 ,암살,"3,155,960 "
12 ,7번방의 선물,"3,070,053 "
13 ,변호인,"2,978,688 "
14 ,해운대,"2,791,508 "
15 ,부산행,"2,754,686 "
16 ,택시운전사,"2,729,932 "
17 ,친구,"2,678,846 "
18 ,신과함께-인과 연,"2,636,378 "
19 ,관상,"2,561,744 "
20 ,설국열차,"2,550,437 "
21 ,공동경비구역 JSA,"2,513,540 "
22 ,쉬리,"2,448,399 "
23 ,웰컴 투 동막골,"2,435,088 "
24 ,과속스캔들,"2,390,408 "
25 ,검사외전,"2,219,587 "
26 ,국가대표,"2,213,346 "
27 ,쌍화점,"2,175,717 "
28 ,베를린,"2,118,794 "
29 ,디워,"2,098,438 "
30 ,타짜,"2,091,058 "
31 ,최종병기 활,"2,059,847 "
32 ,수상한 그녀,"2,042,110 "
33 ,"좋은 놈, 나쁜 놈, 이상한 놈 ","2,012,173 "
34 ,화려한 휴가,"2,009,666 "
35 ,써니,"2,004,824 "
36 ,내부자들,"1,972,885 "
37 ,미녀는 괴로워,"1,934,910 "
38 ,살인의 추억,"1,912,715 "
39 ,해적: 바다로 간 산적,"1,868,694 "
40 ,아저씨,"1,863,328 "
41 ,곡성,"1,829,923 "
42 ,밀정,"1,827,424 "
43 ,1987,"1,776,877 "
44 ,공조,"1,744,624 "
45 ,히말라야,"1,738,016 "
46 ,엽기적인 그녀,"1,735,692 "
47 ,마스터,"1,731,940 "
48 ,은밀하게 위대하게,"1,691,014 "
49 ,전우치,"1,684,123 "
50 ,늑대소년,"1,677,173 "
51 ,터널,"1,675,010 "
52 ,범죄도시,"1,670,254 "
53 ,추격자,"1,662,668 "
54 ,럭키,"1,640,015 "
55 ,신라의 달밤,"1,608,211 "
56 ,사도,"1,606,486 "
57 ,가문의 영광,"1,605,775 "
58 ,동갑내기 과외하기,"1,587,975 "
59 ,집으로...,"1,576,943 "
60 ,의형제,"1,563,042 "
61 ,말아톤,"1,552,548 "
62 ,완득이,"1,525,277 "
63 ,더 테러 라이브,"1,525,130 "
64 ,투사부일체,"1,502,821 "
65 ,감시자들,"1,477,594 "
66 ,내 아내의 모든 것,"1,475,165 "
67 ,범죄와의 전쟁: 나쁜놈들 전성시대,"1,451,900 "
68 ,가문의 위기(가문의 영광2),"1,451,468 "
69 ,신세계,"1,435,648 "
70 ,건축학개론,"1,431,173 "
71 ,검은 사제들,"1,428,491 "
72 ,인천상륙작전,"1,427,944 "
73 ,조폭마누라,"1,419,972 "
74 ,군함도,"1,398,649 "
75 ,친절한 금자씨,"1,375,194 "
76 ,조선명탐정 : 각시투구꽃의 비밀,"1,363,857 "
77 ,숨바꼭질,"1,356,936 "
78 ,더 킹,"1,318,493 "
79 ,색즉시공,"1,313,067 "
80 ,덕혜옹주,"1,304,324 "
81 ,강철중: 공공의 적 1-1,"1,298,197 "
82 ,스캔들-조선남녀상열지사,"1,292,951 "
83 ,아가씨,"1,283,972 "
84 ,도가니,"1,267,508 "
85 ,연평해전,"1,265,879 "
86 ,우리 생애 최고의 순간,"1,264,173 "
87 ,달마야 놀자,"1,253,075 "
88 ,군도: 민란의 시대,"1,239,945 "
89 ,태풍,"1,229,971 "
90 ,두사부일체,"1,228,142 "
91 ,청년경찰,"1,207,318 "
92 ,독전,"1,201,461 "
93 ,올드보이,"1,188,417 "
94 ,타워,"1,186,378 "
95 ,7급 공무원,"1,173,540 "
96 ,공공의 적 2,"1,167,828 "
97 ,공공의 적,"1,161,500 "
98 ,공작,"1,158,098 "
99 ,안시성,"1,145,408 "
100 ,"님아, 그 강을 건너지 마오","1,140,795 "
101 ,바람과 함께 사라지다,"1,122,802 "
102 ,광복절 특사,"1,097,363 "
103 ,한반도,"1,077,033 "
104 ,너는 내 운명,"1,063,480 "
105 ,강철비,"1,060,541 "
106 ,마더,"1,060,010 "
107 ,댄싱퀸,"1,055,086 "
108 ,역린,"1,044,988 "
109 ,이끼,"1,044,532 "
110 ,연가시,"1,040,068 "
111 ,서편제,"1,035,741 "
112 ,말죽거리 잔혹사,"1,023,601 "
113 ,"장화, 홍련","1,017,027 "
114 ,타짜-신의 손,"1,016,403 "
115 ,용의자,"997,760 "
116 ,우리들의 행복한 시간,"980,772 "
117 ,방자전,"975,688 "
118 ,부러진 화살,"972,059 "
119 ,신의 한 수,"965,372 "
120 ,황산벌,"960,394 "
121 ,워낭소리,"958,688 "
122 ,오! 브라더스,"952,010 "
123 ,부당거래,"944,655 "
124 ,거북이 달린다,"942,277 "
125 ,꾼,"931,901 "
126 ,끝까지 간다,"927,324 "
127 ,마파도,"922,647 "
128 ,식객,"913,989 "
129 ,시라노; 연애조작단,"910,652 "
130 ,주유소 습격사건,"905,500 "
131 ,내 생애 가장 아름다운 일주일,"902,189 "
132 ,박수건달,"894,127 "
133 ,신기전,"891,357 "
134 ,남한산성,"889,444 "
135 ,판도라,"880,999 "
136 ,어린 신부,"876,600 "
137 ,킬러들의 수다,"871,125 "
138 ,음란서생,"868,692 "
139 ,투캅스,"860,433 "
140 ,싱글즈,"859,575 "
141 ,무사,"857,148 "
142 ,선생 김봉두,"856,680 "
143 ,2009로스트메모리즈,"856,150 "
144 ,암수살인,"855,263 "
145 ,조선명탐정 : 사라진 놉의 딸,"845,522 "
146 ,그놈 목소리,"826,287 "
147 ,헬로우 고스트,"823,854 "
148 ,포화속으로,"822,965 "
149 ,고지전,"817,904 "
150 ,26년,"817,210 "
151 ,박수칠 때 떠나라,"815,497 "
152 ,굿모닝 프레지던트,"815,403 "
153 ,내가 살인범이다,"809,580 "
154 ,광식이 동생 광태,"806,193 "
155 ,귀향,"801,788 "
156 ,오싹한 연애,"797,727 "
157 ,내 머리 속의 지우개,"797,593 "
158 ,아이 캔 스피크,"796,658 "
159 ,반칙왕,"787,423 "
160 ,가문의 부활 - 가문의 영광3,"779,445 "
161 ,범죄의 재구성,"776,898 "
162 ,"달콤, 살벌한 연인","766,007 "
163 ,위험한 상견례,"765,417 "
164 ,혈의 누,"763,864 "
165 ,몽정기,"763,190 "
166 ,화차,"760,953 "
167 ,그것만이 내 세상,"759,455 "
168 ,아라한 장풍대작전,"756,000 "
169 ,폰,"755,437 "
170 ,귀신이 산다,"751,340 "
171 ,박쥐,"741,819 "
172 ,작업의 정석,"741,455 "
173 ,첫사랑 사수 궐기 대회,"741,029 "
174 ,하녀,"740,713 "
175 ,스물,"740,243 "
176 ,블라인드,"736,580 "
177 ,스파이,"733,029 "
178 ,마녀,"732,155 "
179 ,편지,"724,747 "
180 ,의뢰인,"719,601 "
181 ,하모니,"718,993 "
182 ,극비수사,"717,981 "
183 ,비천무,"717,659 "
184 ,후궁 : 제왕의 첩,"716,851 "
185 ,쩨쩨한 로맨스,"716,536 "
186 ,황해,"714,591 "
187 ,세븐 데이즈,"713,941 "
188 ,미인도,"709,649 "
189 ,약속,"704,600 "
190 ,우리 형,"699,725 "
191 ,화이: 괴물을 삼킨 아이,"697,799 "
192 ,1번가의 기적,"697,439 "
193 ,이웃사람,"697,152 "
194 ,연애의 목적,"692,475 "
195 ,댄서의 순정,"692,461 "
196 ,퀵,"692,405 "
197 ,위대한 유산,"691,839 "
198 ,라디오 스타,"691,408 "
199 ,텔미썸딩,"685,935 "
200 ,탐정: 리턴즈,"680,077 "
201 ,프리즌,"679,455 "
202 ,장군의 아들,"678,946 "
203 ,아수라,"676,676 "
204 ,친구 2,"675,887 "
205 ,형,"675,698 "
206 ,접속,"674,933 "
207 ,바르게 살자,"672,381 "
208 ,너의 결혼식,"666,855 "
209 ,인정사정 볼 것 없다,"664,861 "
210 ,효자동 이발사,"661,957 "
211 ,내 여자친구를 소개합니다,"659,380 "
212 ,지금 만나러 갑니다,"652,981 "
213 ,표적,"652,750 "
214 ,극락도 살인사건,"647,717 "
215 ,살인자의 기억법,"643,595 "
216 ,연애의 온도,"642,588 "
217 ,감기,"638,882 "
218 ,바람난 가족,"636,735 "
219 ,투캅스 2,"636,047 "
220 ,사생결단,"635,987 "
221 ,바람의 파이터,"634,897 "
222 ,비열한 거리,"633,783 "
223 ,라스트 갓파더,"633,176 "
224 ,초능력자,"623,616 "
225 ,박열,"623,230 "
226 ,여고괴담,"621,032 "
227 ,아내가 결혼했다,"617,538 "
228 ,단적비연수,"616,349 "
229 ,뷰티 인사이드,"611,979 "
230 ,늑대의 유혹,"610,971 "
231 ,그림자 살인,"604,843 "
232 ,눈에는 눈 이에는 이,"601,154 "
233 ,곤지암,"596,536 "
234 ,러브픽션,"593,077 "
235 ,내 사랑 내 곁에,"592,412 "
236 ,연애소설,"589,743 "
237 ,주먹이 운다(Crying Fist),"588,630 "
238 ,강남 1970,"586,992 "
239 ,화산고,"586,576 "
240 ,겨울여자,"586,147 "
241 ,나의 사랑 나의 신부,"571,741 "
242 ,품행제로,"569,421 "
243 ,바람피기 좋은 날,"568,786 "
244 ,반창꼬,"568,409 "
245 ,나의 PS 파트너 ,"564,999 "
246 ,내부자들: 디 오리지널,"564,863 "
247 ,조작된 도시,"564,486 "
248 ,기술자들,"564,420 "
249 ,클래식,"564,348 "
250 ,밀양,"561,458 "
251 ,YMCA야구단,"560,000 "
252 ,챔피언,"557,546 "
253 ,재심,"555,767 "
254 ,시실리 2km,"552,286 "
255 ,악마를 보았다,"551,368 "
256 ,와일드 카드,"550,174 "
257 ,마이 웨이,"548,651 "
258 ,사랑,"547,926 "
259 ,해피엔드,"546,071 "
260 ,가족,"545,909 "
261 ,님은 먼 곳에,"545,819 "
262 ,알포인트,"540,000 "
263 ,여고괴담 세번째 이야기: 여우계단,"538,429 "
264 ,마당을 나온 암탉,"538,167 "
265 ,오아시스,"537,068 "
266 ,리베라메,"533,560 "
267 ,7광구,"528,995 "
268 ,굿바이 싱글,"527,830 "
269 ,조폭마누라2-돌아온 전설,"527,575 "
270 ,결혼이야기,"526,052 "
271 ,맨발의 기봉이,"524,357 "
272 ,글러브,"520,939 "
273 ,명당,"518,323 "
274 ,소원,"518,005 "
275 ,그대를 사랑합니다,"517,602 "
276 ,가문의 영광4 - 가문의 수난,"516,319 "
277 ,목격자,"514,733 "
278 ,애자,"514,001 "
279 ,색즉시공 시즌2,"507,498 "
280 ,청춘만화,"507,416 "
281 ,번지점프를 하다,"506,529 "
282 ,탐정 : 더 비기닝,"504,961 "
283 ,악의 연대기,"498,114 "
284 ,깊고 푸른 밤,"495,673 "
285 ,보안관,"491,530 "
286 ,조선명탐정: 흡혈괴마의 비밀,"490,363 "
287 ,S 다이어리,"489,706 "
288 ,주홍글씨,"489,254 "
289 ,오늘의 연애,"480,061 "
290 ,선물,"479,679 "
291 ,불꽃처럼 나비처럼,"475,245 "
292 ,리틀 포레스트,"474,626 "
293 ,제보자,"474,188 "
294 ,전설의 주먹,"473,110 "
295 ,라이터를 켜라,"470,557 "
296 ,흡혈형사 나도열,"470,475 "
297 ,몽타주,"469,536 "
298 ,달콤한 인생,"466,425 "
299 ,별들의 고향 ,"464,308 "
300 ,해결사,"456,531 "
301 ,야수와 미녀,"455,824 "
302 ,더 게임,"453,937 "
303 ,은행나무 침대,"452,580 "
304 ,퍼펙트 게임,"450,844 "
305 ,차우,"450,304 "
306 ,남자가 사랑할 때,"448,985 "
307 ,은교,"446,283 "
308 ,용의자X,"444,111 "
309 ,아이들...,"443,026 "
310 ,즐거운 인생,"442,665 "
311 ,작전,"441,745 "
312 ,집으로 가는 길,"440,958 "
313 ,무방비도시,"440,111 "
314 ,검은 집,"439,754 "
315 ,권순분여사 납치사건,"437,939 "
316 ,똥개,"434,660 "
317 ,취화선,"434,108 "
318 ,파파로티,"433,742 "
319 ,매춘,"432,609 "
320 ,구르믈 버서난 달처럼,"432,451 "
321 ,봉이 김선달,"432,216 "
322 ,잠복근무,"431,865 "
323 ,각설탕,"430,896 "
