,벤쿠버,칸,아카데미,토론토,베를린,백상,대종상,청룡
1929년,,,날개,,,,,
1930년,,,브로드웨이 멜로디,,,,,
1931년,,,서부 전선 이상 없다,,,,,
1932년,,,시마론,,,,,
1933년,,,그랜드 호텔,,,,,
1934년,,,캐벌케이드,,,,,
1935년,,,어느 날 밤에 생긴 일,,,,,
1936년,,,바운티호의 반란,,,,,
1937년,,,위대한 지그펠드,,,,,
1938년,,,에밀 졸라의 생애,,,,,
1939년,,,우리들의 낙원,,,,,
1940년,,,바람과 함께 사라지다,,,,,
1941년,,,레베카,,,,,
1942년,,,나의 계곡은 푸르렀다,,,,,
1943년,,,미니버 부인,,,,,
1944년,,,카사블랑카,,,,,
1945년,,,나의 길을 가련다,,,,,
1946년,,,잃어버린 주말,,,,,
1947년,,,우리 생애 최고의 해,,,,,
1948년,,,신사협정,,,,,
1949년,,,햄릿,,,,,
1950년,,,모두가 왕의 부하들,,,,,
1951년,,,이브의 모든 것,,데스티네이션 문,,,
1952년,,,파리의 미국인,,Hon,,,
1953년,,,지상 최대의 쇼,,공포의 보수,,,
1954년,,,지상에서 영원으로,,홉슨의 사위 고르기,,,
1955년,,마티,워터프론트,,로버트 시오드맥,,,
1956년,,침묵의 세계,마티,,인버테이션 투 더 댄스,,,
1957년,,우정어린 설득,80일간의 세계일주,,12인의 노한 사람들,,,
1958년,,학이 난다,콰이강의 다리,,산딸기,,,
1959년,,흑인 오르페,지지,,사촌들,,,
1960년,,달콤한 인생,벤허,,엘 라사리요 데 토르메스,,,
1961년,,두 여인,아파트 열쇠를 빌려드립니다,,밤,,,
1962년,,산타 바바라의 맹세,웨스트 사이드 스토리,,사랑의 유형,,연산군,
1963년,,레오파드,아라비아의 로렌스,,부시도,,열녀문,혈맥
1964년,,쉘부르의 우산,톰 존스의 화려한 모험,,메마른 여름,,혈맥,잉여인간
1965년,,낵 앤 하우 투 겟 잇,마이 페어 레이디,,알파빌,벙어리 삼룡이,벙어리 삼룡이,저 하늘에도 슬픔이
1966년,,마담 시뇨리,사운드 오브 뮤직,,로만 폴란스키의 궁지,,갯마을,월남전선
1967년,,욕망,사계의 사나이,,출발,만추,귀로,흥부와 놀부
1968년,,,밤의 열기 속으로,,누가 그의 죽음을 보았는가,싸리골의 신화,대원군,
1969년,,만약,올리버,,얼리 웍스,,,카인의 후예
1970년,,매쉬,미드나잇 카우보이,,,,,독짓는 늙은이
1971년,,사랑의 메신저,패튼 대전차 군단,,핀치 콘치니의 정원,,무명의,옥합을 깨뜨릴 때
1972년,,천국으로 가는 노동계급,프렌치 커넥션,,캔터베리 이야기,,의사 안중근,1950년 04시
1973년,,하수인,대부,,대지의 눈물,홍살문,홍의장군,삼일천하
1974년,,컨버세이션,스팅,,더디 크레이비츠의 수습 기간,,토지,
1975년,,불타는 해의 연대기,대부 2,,,,불꽃,
1976년,,택시 드라이버,뻐꾸기 둥지 위로 날아간 새,,,,어머니,
1977년,,빠드레 빠드로네,록키,,고양,집념,난중일기,
1978년,,나막신 나무,애니 홀,걸프렌드,트라웃,화려한 외출,경찰관,
1979년,,지옥의 묵시록,디어 헌터,착한,데이비드,전우가 남긴 한마디,깃발 없는 기수,
1980년,,재즈는 나의 인생,크레이머 대 크레이머,배드 타이밍,,달려라 만석아,사람의 아들,
1981년,,철의 인간,보통 사람들,불의 전차,,바람 불어 좋은 날,초대받은 사람들,
1982년,,욜,불의 전차,템페스트,베로니카 포스의 갈망,낮은데로 임하소서,,
1983년,,나라야마 부시코,간디,새로운 탄생,,안개 마을,여인 잔혹사 물레야 물레야,
1984년,,파리 텍사스,애정의 조건,마음의 고향,사랑의 행로,고래 사냥,자녀목,
1985년,,아빠는 출장중,아마데우스,오피셜 스토리,웨더비,깊고 푸른밤,,
1986년,,미션,아웃 오브 아프리카,미제국의 몰락,,길소뜸,,
1987년,,참회,플래툰,프린세스 브라이드,,달빛사냥꾼,,
1988년,젊은 연인들,정복자 펠레,마지막 황제,신경쇠약 직전의 여자,,아다다,,
1989년,로저와 나,섹스 거짓말 그리고 비디오테이프,레인 맨,로저와 나,레인 맨,서울무지개,아제 아제 바라아제,
